Time - Measured Velocity,Spool Rev/Sec - Measured Velocity,Time - Measured Diameter,Diameter (mm) - Measured Diameter,Time - Target Velocity,Spool Rev/Sec - Target Velocity,Time - Predicted Diameter,Diameter (mm) - Predicted Diameter,Time - Temperature,Diameter (mm) - Temperature,Time - Stage Direction,Spool Rev/Sec - Stage Direction
6309,1,6309,0.354929,6309,1,6309,0.317624,6309,94.928,6309,0
6310,1,6310,0.354929,6310,1,6310,0.317624,6310,94.928,6310,0
6311,0.966667,6311,0.354929,6311,1,6311,0.317624,6311,94.928,6311,0
6312,1,6312,0.354929,6312,1,6312,0.317624,6312,94.928,6312,0
6313,1.03333,6313,0.354929,6313,1,6313,0.317624,6313,94.928,6313,0
6314,1.03333,6314,0.354929,6314,1,6314,0.317624,6314,94.928,6314,0
6315,1,6315,0.354929,6315,1,6315,0.317624,6315,94.928,6315,0
6316,1,6316,0.354929,6316,1,6316,0.317624,6316,94.928,6316,0
6317,1.03333,6317,0.3686,6317,1,6317,0.317624,6317,94.928,6317,0
6318,1,6318,0.3686,6318,1,6318,0.317624,6318,94.928,6318,0
6319,0.966667,6319,0.3686,6319,1,6319,0.317624,6319,94.928,6319,0
6320,0.966667,6320,0.3686,6320,1,6320,0.317624,6320,94.928,6320,0
6321,0.966667,6321,0.38227,6321,1,6321,0.317624,6321,94.928,6321,0
6322,1,6322,0.38227,6322,1,6322,0.317624,6322,94.928,6322,0
6323,1,6323,0.38227,6323,1,6323,0.317624,6323,94.928,6323,0
6324,1.03333,6324,0.3686,6324,1,6324,0.317624,6324,94.928,6324,0
6325,1.03333,6325,0.3686,6325,1,6325,0.317624,6325,94.928,6325,0
6326,1.06667,6326,0.3686,6326,1,6326,0.317624,6326,94.928,6326,0
6327,1.03333,6327,0.3686,6327,1,6327,0.317624,6327,94.928,6327,0
6328,1.03333,6328,0.3686,6328,1,6328,0.317624,6328,94.928,6328,0
6329,1.03333,6329,0.3686,6329,1,6329,0.317624,6329,94.928,6329,0
6330,1,6330,0.354929,6330,1,6330,0.317624,6330,94.928,6330,0
6331,1.03333,6331,0.354929,6331,1,6331,0.317624,6331,94.928,6331,0
6332,1.03333,6332,0.327588,6332,1,6332,0.317624,6332,94.928,6332,0
6333,1.06667,6333,0.327588,6333,1,6333,0.317624,6333,94.928,6333,0
6334,1.06667,6334,0.341259,6334,1,6334,0.317624,6334,94.928,6334,0
6335,1,6335,0.327588,6335,1,6335,0.317624,6335,94.928,6335,0
6336,1,6336,0.327588,6336,1,6336,0.317624,6336,94.928,6336,0
6337,0.966667,6337,0.327588,6337,1,6337,0.317624,6337,94.928,6337,0
6338,0.966667,6338,0.300248,6338,1,6338,0.317624,6338,94.928,6338,0
6339,1,6339,0.300248,6339,1,6339,0.317624,6339,94.928,6339,0
6340,0.933333,6340,0.327588,6340,1,6340,0.317624,6340,94.928,6340,0
6341,0.933333,6341,0.327588,6341,1,6341,0.317624,6341,94.928,6341,0
6342,0.966667,6342,0.327588,6342,1,6342,0.317624,6342,94.928,6342,0
6343,1,6343,0.341259,6343,1,6343,0.317624,6343,94.928,6343,0
6344,1,6344,0.327588,6344,1,6344,0.317624,6344,94.928,6344,0
6345,1,6345,0.327588,6345,1,6345,0.317624,6345,94.928,6345,0
6346,1,6346,0.327588,6346,1,6346,0.317624,6346,94.928,6346,0
6347,1,6347,0.327588,6347,1,6347,0.317624,6347,94.928,6347,0
6348,1,6348,0.327588,6348,1,6348,0.317624,6348,94.928,6348,0
6349,1,6349,0.327588,6349,1,6349,0.317624,6349,94.928,6349,0
6350,1.03333,6350,0.313918,6350,1,6350,0.317624,6350,94.928,6350,0
6351,1.03333,6351,0.313918,6351,1,6351,0.317624,6351,94.928,6351,0
6352,1.06667,6352,0.313918,6352,1,6352,0.317624,6352,94.928,6352,0
6353,1.06667,6353,0.300248,6353,1,6353,0.317624,6353,94.928,6353,0
6354,1.06667,6354,0.286577,6354,1,6354,0.317624,6354,94.928,6354,0
6355,1.03333,6355,0.300248,6355,1,6355,0.317624,6355,94.928,6355,0
6356,1.03333,6356,0.286577,6356,1,6356,0.317624,6356,94.928,6356,0
6357,1.03333,6357,0.272907,6357,1,6357,0.317624,6357,94.928,6357,0
6358,0.966667,6358,0.286577,6358,1,6358,0.317624,6358,94.928,6358,0
6359,0.966667,6359,0.272907,6359,1,6359,0.317624,6359,94.928,6359,0
6360,0.966667,6360,0.272907,6360,1,6360,0.317624,6360,94.928,6360,0
6361,1,6361,0.272907,6361,1,6361,0.317624,6361,94.928,6361,0
6362,1.03333,6362,0.272907,6362,1,6362,0.317624,6362,94.928,6362,0
6363,1.03333,6363,0.272907,6363,1,6363,0.317624,6363,94.928,6363,0
6364,1,6364,0.272907,6364,1,6364,0.317624,6364,94.928,6364,0
6365,0.966667,6365,0.286577,6365,1,6365,0.317624,6365,94.928,6365,0
6366,0.966667,6366,0.286577,6366,1,6366,0.317624,6366,94.928,6366,0
6367,0.966667,6367,0.300248,6367,1,6367,0.317624,6367,94.928,6367,0
6368,1,6368,0.313918,6368,1,6368,0.317624,6368,94.928,6368,0
6369,1.03333,6369,0.313918,6369,1,6369,0.317624,6369,94.928,6369,0
6370,1,6370,0.327588,6370,1,6370,0.317624,6370,94.928,6370,0
6371,1.06667,6371,0.354929,6371,1,6371,0.317624,6371,94.928,6371,0
6372,1.06667,6372,0.395941,6372,1,6372,0.317624,6372,94.928,6372,0
6373,1.03333,6373,0.395941,6373,1,6373,0.317624,6373,94.928,6373,0
6374,1.03333,6374,0.395941,6374,1,6374,0.317624,6374,94.928,6374,0
6375,1,6375,0.395941,6375,1,6375,0.317624,6375,94.928,6375,0
6376,0.966667,6376,0.395941,6376,1,6376,0.317624,6376,94.928,6376,0
6377,1,6377,0.395941,6377,1,6377,0.317624,6377,94.928,6377,0
6378,1,6378,0.395941,6378,1,6378,0.317624,6378,94.928,6378,0
6379,1,6379,0.395941,6379,1,6379,0.317624,6379,94.928,6379,0
6380,1.03333,6380,0.395941,6380,1,6380,0.317624,6380,94.928,6380,0
6381,1.03333,6381,0.3686,6381,1,6381,0.317624,6381,94.928,6381,0
6382,1.03333,6382,0.354929,6382,1,6382,0.317624,6382,94.928,6382,0
6383,1.03333,6383,0.354929,6383,1,6383,0.317624,6383,94.928,6383,0
6384,1,6384,0.341259,6384,1,6384,0.317624,6384,94.928,6384,0
6385,0.933333,6385,0.341259,6385,1,6385,0.317624,6385,94.928,6385,0
6386,0.933333,6386,0.341259,6386,1,6386,0.317624,6386,94.928,6386,0
6387,0.966667,6387,0.354929,6387,1,6387,0.317624,6387,94.928,6387,0
6388,1.03333,6388,0.354929,6388,1,6388,0.317624,6388,94.928,6388,0
6389,1.03333,6389,0.354929,6389,1,6389,0.317624,6389,94.928,6389,0
6390,1.03333,6390,0.38227,6390,1,6390,0.317624,6390,94.928,6390,0
6391,1.03333,6391,0.409611,6391,1,6391,0.317624,6391,94.928,6391,0
6392,1.06667,6392,0.423281,6392,1,6392,0.317624,6392,94.928,6392,0
6393,1.03333,6393,0.423281,6393,1,6393,0.317624,6393,94.928,6393,0
6394,1,6394,0.423281,6394,1,6394,0.317624,6394,94.928,6394,0
6395,0.966667,6395,0.423281,6395,1,6395,0.317624,6395,95.3671,6395,0
6396,0.966667,6396,0.409611,6396,1,6396,0.317624,6396,94.928,6396,0
6397,0.933333,6397,0.409611,6397,1,6397,0.317624,6397,94.928,6397,0
6398,0.966667,6398,0.409611,6398,1,6398,0.317624,6398,95.3671,6398,0
6399,1.03333,6399,0.38227,6399,1,6399,0.317624,6399,95.3671,6399,0
6400,1.06667,6400,0.38227,6400,1,6400,0.317624,6400,95.3671,6400,0
6401,1.03333,6401,0.38227,6401,1,6401,0.317624,6401,95.3671,6401,0
6402,1,6402,0.38227,6402,1,6402,0.317624,6402,95.3671,6402,0
6403,1,6403,0.38227,6403,1,6403,0.317624,6403,95.3671,6403,0
